Date & Time,Year,People per Capita
01/01/1993 12:00:00 PM,1993,0.021
01/01/1994 12:00:00 PM,1994,0.021
01/01/1995 12:00:00 PM,1995,0.022
01/01/1996 12:00:00 PM,1996,0.022
01/01/1997 12:00:00 PM,1997,0.022
01/01/1998 12:00:00 PM,1998,0.022
01/01/1999 12:00:00 PM,1999,0.022
01/01/2000 12:00:00 PM,2000,0.022
01/01/2001 12:00:00 PM,2001,0.026
01/01/2002 12:00:00 PM,2002,0.026
01/01/2003 12:00:00 PM,2003,0.025
01/01/2004 12:00:00 PM,2004,0.025
01/01/2005 12:00:00 PM,2005,0.025
01/01/2006 12:00:00 PM,2006,0.025
01/01/2007 12:00:00 PM,2007,0.026
01/01/2008 12:00:00 PM,2008,0.025
01/01/2009 12:00:00 PM,2009,0.025
01/01/2010 12:00:00 PM,2010,0.025
01/01/2011 12:00:00 PM,2011,0.024
01/01/2012 12:00:00 PM,2012,0.024
01/01/2013 12:00:00 PM,2013,0.024
01/01/2014 12:00:00 PM,2014,0.023
01/01/2015 12:00:00 PM,2015,0.023
01/01/2016 12:00:00 PM,2016,0.023
